d0 1
d1 1
d2 1
d3 1
d4 2
d5 2
d6 2
d7 0
d8 1
d9 1
d10 2
d11 1
d12 2
d13 1
d14 2
d15 0
d16 2
d17 1
d18 1
d19 0
d20 1
d21 1
d22 2
d23 1
d24 0
d25 1
d26 2
d27 0
d28 2
d29 1
d30 0
d31 1
d32 1
d33 0
d34 0
d35 2
d36 0
d37 1
d38 0
d39 0
d40 1
d41 0
d42 1
d43 1
d44 1
d45 1
d46 2
d47 1
d48 2
d49 2
d50 1
d51 0
d52 1
d53 0
d54 0
d55 0
d56 0
d57 0
d58 2
d59 1
d60 0
d61 0
d62 2
d63 0
d64 2
d65 0
d66 1
d67 0
d68 1
d69 1
d70 0
d71 1
d72 0
d73 0
d74 0
d75 1
d76 0
d77 2
d78 0
d79 1
d80 1
d81 2
d82 0
d83 0
d84 1
d85 2
d86 0
d87 2
d88 2
d89 1
d90 0
d91 0
d92 0
d93 2
d94 1
d95 2
d96 0
d97 1
d98 2
d99 1
d100 0
d101 2
d102 1
d103 0
d104 2
d105 0
d106 2
d107 0
d108 0
d109 0
d110 1
d111 2
d112 2
d113 2
d114 1
d115 2
d116 1
d117 1
d118 1
d119 2
d120 1
d121 2
d122 1
d123 1
d124 2
d125 1
d126 2
d127 1
d128 0
d129 1
d130 2
d131 1
d132 0
d133 1
d134 1
d135 1
d136 1
d137 1
d138 2
d139 1
d140 0
d141 1
d142 0
d143 0
d144 0
d145 1
d146 1
d147 0
d148 2
d149 1
d150 1
d151 2
d152 1
d153 1
d154 1
d155 1
d156 2
d157 1
d158 1
d159 0
d160 1
d161 2
d162 0
d163 1
d164 1
d165 1
d166 1
d167 2
d168 2
d169 0
d170 1
d171 2
d172 1
d173 1
d174 1
d175 1
d176 1
d177 1
d178 1
d179 1
d180 2
d181 1
d182 2
d183 2
d184 0
d185 1
d186 1
d187 2
d188 1
d189 2
d190 0
d191 1
d192 2
d193 0
d194 1
d195 1
d196 2
d197 1
d198 1
d199 2
d200 1
d201 1
d202 2
d203 0
d204 1
d205 1
d206 2
d207 0
d208 1
d209 1
d210 1
d211 2
d212 1
d213 0
d214 2
d215 0
d216 1
d217 1
d218 2
d219 2
d220 1
d221 1
d222 0
d223 0
d224 0
d225 0
d226 1
d227 2
d228 1
d229 2
